sim_type,sim_name,As,bary_Mc,bary_nu,H0,O_cdm,O_nu,Ob,Om,ns,s8,w0
grid,cosmo_000452,1.5069869625504442e-09,211919965701427.72,-1.1796875,70.15234375,0.203629841692,0.0013115645579999946,0.05208984375,0.25703125,0.961015625,0.573828125,-0.876728515625
grid,cosmo_000454,2.949915514580901e-09,1191713543468.3418,-0.1796875,65.65234375,0.310943883241,0.0014975230090000513,0.04458984375,0.35703125,1.011015625,0.823828125,-0.459978515625
grid,cosmo_000460,3.0453881439320584e-09,326341176585246.3,1.0703125,80.27734375,0.173314820655,0.001001585594999986,0.05771484375,0.23203125,1.048515625,0.886328125,-0.980916015625
grid,cosmo_000462,1.188863717556108e-09,1835151297051.2512,0.0703125,75.77734375,0.295692331359,0.001124074890999971,0.03521484375,0.33203125,0.898515625,0.636328125,-0.564166015625
grid,cosmo_000468,3.7156155266321715e-09,8316141590239.368,1.6953125,68.46484375,0.25137689111,0.0013770151400000208,0.04177734375,0.29453125,0.917265625,0.730078125,-0.407884765625
grid,cosmo_000470,4.4306145349479907e-10,46765100823257.83,0.6953125,72.96484375,0.344041504014,0.0012124022359999778,0.04927734375,0.39453125,1.067265625,0.480078125,-0.824634765625
grid,cosmo_000474,3.1600254836243466e-10,170774048791176.72,1.9453125,80.83984375,0.42864121063,0.0009876956200000203,0.03990234375,0.46953125,0.979765625,0.542578125,-1.345572265625
grid,cosmo_000475,7.676276065104358e-09,5400349594288.429,-0.0546875,71.83984375,0.213378234846,0.0012506714040000089,0.05490234375,0.26953125,0.879765625,1.042578125,-0.512072265625
grid,cosmo_000478,1.0504396815488868e-09,72014819251581.31,-0.5546875,78.58984375,0.259833846273,0.0010450599769999958,0.05865234375,0.31953125,0.954765625,0.667578125,-1.137197265625
grid,cosmo_000481,1.69298122246329e-09,2536862186043.4766,0.8828125,70.99609375,0.281942080857,0.0012805753929999997,0.03005859375,0.31328125,0.995390625,0.933203125,-1.319525390625
grid,cosmo_000482,6.847574562178081e-10,14265824435249.744,-0.1171875,75.49609375,0.374590190466,0.0011324657839999822,0.03755859375,0.41328125,1.045390625,0.683203125,-0.902775390625
grid,cosmo_000486,6.772856900028874e-10,6015848282870.847,1.3828125,73.24609375,0.305769546933,0.0012031093169999896,0.05630859375,0.36328125,0.870390625,0.558203125,-1.527900390625
